score,ranking,score_num,movie_name
9.6,1,996990,肖申克的救赎
9.5,2,724856,霸王别姬
9.4,3,939202,这个杀手不太冷
9.4,4,798933,阿甘正传
9.5,5,466746,美丽人生
9.2,6,747369,千与千寻
9.2,7,738672,泰坦尼克号
9.4,8,425102,辛德勒的名单
9.3,9,839747,盗梦空间
9.3,10,550756,机器人总动员
9.2,11,648687,海上钢琴师
9.2,12,753507,三傻大闹宝莱坞
9.2,13,518401,忠犬八公的故事
9.2,14,503739,放牛班的春天
9.2,15,550367,大话西游之大圣娶亲
9.1,16,520622,楚门的世界
9.2,17,378899,教父
9.1,18,464844,龙猫
9.2,19,301880,熔炉
9.2,20,295199,乱世佳人
9.2,21,548287,星际穿越
9.1,22,407936,触不可及
9.0,23,449297,无间道
8.9,24,596179,当幸福来敲门
9.1,25,333856,天堂电影院
8.9,26,620215,怦然心动
9.4,27,187897,十二怒汉
9.0,28,429712,搏击俱乐部
9.0,29,631389,少年派的奇幻漂流
9.2,30,255316,鬼子来了
9.1,31,310241,指环王3：王者无敌
9.0,32,360154,蝙蝠侠：黑暗骑士
9.1,33,300243,活着
9.0,34,363984,天空之城
8.9,35,420017,罗马假日
8.9,36,443088,大话西游之月光宝盒
8.9,37,546141,飞屋环游记
9.2,38,571163,疯狂动物城
9.1,39,245180,窃听风暴
9.1,40,293115,两杆大烟枪
9.0,41,297202,飞越疯人院
9.6,42,107427,控方证人
8.9,43,352315,闻香识女人
8.9,44,386083,哈尔的移动城堡
9.3,45,193811,海豚湾
8.8,46,456811,V字仇杀队
9.1,47,231893,辩护人
8.9,48,303821,死亡诗社
9.1,49,204141,教父2
8.9,50,329184,美丽心灵
9.0,51,292032,指环王2：双塔奇兵
8.9,52,326805,指环王1：魔戒再现
8.8,53,405588,情书
9.1,54,219028,饮食男女
9.1,55,188864,美国往事
8.9,56,304716,狮子王
9.0,57,217395,钢琴家
8.7,58,514154,天使爱美丽
9.1,59,502865,摔跤吧！爸爸
8.7,60,463446,七宗罪
8.9,61,314537,被嫌弃的松子的一生
9.1,62,200953,素媛
9.2,63,150562,小鞋子
8.8,64,370510,致命魔术
8.8,65,311861,勇敢的心
8.9,66,248076,音乐之声
8.7,67,517059,剪刀手爱德华
8.8,68,420029,本杰明·巴顿奇事
8.8,69,363321,看不见的客人
8.8,70,359374,低俗小说
8.7,71,378684,西西里的美丽传说
8.9,72,257695,拯救大兵瑞恩
8.8,73,302122,黑客帝国
8.7,74,378336,沉默的羔羊
8.8,75,334875,入殓师
8.7,76,408414,蝴蝶效应
8.7,77,666400,让子弹飞
8.9,78,242549,玛丽和马克思
8.8,79,265170,春光乍泄
9.2,80,109307,大闹天宫
8.8,81,290360,心灵捕手
8.8,82,288455,阳光灿烂的日子
8.8,83,250830,幽灵公主
8.8,84,249223,第六感
8.9,85,184089,末代皇帝
8.7,86,353204,重庆森林
8.6,87,383662,禁闭岛
8.7,88,268060,大鱼
9.0,89,139725,狩猎
8.8,90,337089,布达佩斯大饭店
8.7,91,292639,射雕英雄传之东成西就
8.7,92,278514,哈利·波特与魔法石
8.6,93,339072,致命ID
8.8,94,245206,甜蜜蜜
8.9,95,164790,一一
8.6,96,339576,断背山
8.8,97,285498,阳光姐妹淘
8.7,98,362761,告白
8.7,99,244909,猫鼠游戏
8.9,100,165143,上帝之城
8.6,101,367343,加勒比海盗
9.2,102,95761,摩登时代
8.9,103,158419,穿条纹睡衣的男孩
8.6,104,557247,阿凡达
8.7,105,234234,爱在黎明破晓前
8.7,106,378861,消失的爱人
8.8,107,186155,风之谷
8.7,108,209565,爱在日落黄昏时
8.8,109,178928,侧耳倾听
8.6,110,269636,倩女幽魂
8.8,111,182523,超脱
8.9,112,143482,红辣椒
8.7,113,236689,恐怖直播
8.7,114,213870,萤火虫之墓
8.7,115,300709,驯龙高手
8.7,116,192273,菊次郎的夏天
8.6,117,235716,幸福终点站
8.6,118,319823,岁月神偷
8.7,119,228562,借东西的小人阿莉埃蒂
8.9,120,140102,小森林 夏秋篇
8.5,121,334300,喜剧之王
8.5,122,398859,神偷奶爸
9.2,123,80916,七武士
8.7,124,219479,杀人回忆
9.0,125,101802,海洋
8.5,126,328732,真爱至上
8.7,127,208059,电锯惊魂
8.5,128,410809,贫民窟的百万富翁
8.7,129,188853,谍影重重3
8.8,130,147164,喜宴
8.6,131,218223,雨人
8.5,132,291933,记忆碎片
8.6,133,262482,东邪西毒
8.6,134,253736,怪兽电力公司
8.7,135,386545,疯狂原始人
8.5,136,434955,黑天鹅
8.7,137,153307,燃情岁月
8.7,138,175488,英雄本色
8.9,139,111148,虎口脱险
8.8,140,125386,卢旺达饭店
8.5,141,295969,恋恋笔记本
8.4,142,316303,傲慢与偏见
8.7,143,185412,7号房的礼物
8.6,144,202418,海边的曼彻斯特
8.6,145,285995,哈利·波特与死亡圣器(下)
8.8,146,134067,魂断蓝桥
8.5,147,256825,猜火车
8.8,148,136602,教父3
8.7,149,166036,萤火之森
9.0,150,84599,完美的世界
8.6,151,192411,穿越时空的少女
8.7,152,153358,纵横四海
8.9,153,121968,小森林 冬春篇
8.8,154,147758,荒蛮故事
8.8,155,199318,玩具总动员3
9.0,156,96357,雨中曲
8.5,157,257300,花样年华
8.8,158,100953,二十二
8.8,159,108498,我是山姆
8.4,160,344483,唐伯虎点秋香
8.6,161,386402,超能陆战队
8.6,162,210450,时空恋旅人
8.6,163,196188,人工智能
8.6,164,305629,蝙蝠侠：黑暗骑士崛起
8.7,165,137267,浪潮
8.4,166,281897,冰川时代
8.4,167,285825,香水
8.6,168,170518,心迷宫
8.5,169,285849,朗读者
8.7,170,129835,罗生门
8.9,171,84685,追随
8.7,172,136928,一次别离
8.6,173,179232,撞车
8.6,174,247127,爆裂鼓手
8.8,175,102206,未麻的部屋
8.7,176,133481,可可西里
8.5,177,180103,战争之王
8.8,178,88309,地球上的星星
8.3,179,337456,恐怖游轮
8.7,180,115146,梦之安魂曲
8.7,181,174275,达拉斯买家俱乐部
8.5,182,267530,被解救的姜戈
8.5,183,188703,阿飞正传
8.7,184,110554,牯岭街少年杀人事件
8.7,185,327298,血战钢锯岭
8.5,186,197831,谍影重重
8.5,187,164324,谍影重重2
8.5,188,201416,魔女宅急便
8.7,189,109788,碧海蓝天
8.8,190,157020,请以你的名字呼唤我
8.9,191,85865,惊魂记
9.0,192,62120,忠犬八公物语
8.5,193,175903,再次出发之纽约遇见你
8.3,194,307809,秒速5厘米
8.4,195,228235,青蛇
8.7,196,235502,头脑特工队
8.8,197,160506,房间
8.9,198,83182,哪吒闹海
8.6,199,168451,海盗电台
9.2,200,52117,东京物语
8.7,201,107719,末路狂花
8.7,202,109542,绿里奇迹
8.6,203,144907,终结者2：审判日
8.3,204,418830,源代码
8.5,205,145387,勇闯夺命岛
8.5,206,186606,这个男人来自地球
8.5,207,189017,新龙门客栈
8.5,208,263007,模仿游戏
8.5,209,160265,黑客帝国3：矩阵革命
8.6,210,127806,卡萨布兰卡
8.6,211,130611,荒野生存
8.4,212,219374,变脸
9.2,213,45468,城市之光
9.1,214,52611,迁徙的鸟
8.7,215,121858,一个叫欧维的男人决定去死
8.5,216,156734,E.T. 外星人
8.4,217,189939,发条橙
8.4,218,189823,美国丽人
8.4,219,228579,无耻混蛋
9.1,220,52598,黄金三镖客
8.3,221,473238,初恋这件小事
8.4,222,177018,英国病人
8.6,223,109470,燕尾蝶
8.4,224,481737,你的名字。
8.8,225,119444,爱在午夜降临前
8.6,226,119049,非常嫌疑犯
8.6,227,111034,叫我第一名
8.3,228,239994,穆赫兰道
8.9,229,89222,勇士
9.0,230,57456,无人知晓
8.3,231,322767,疯狂的石头
8.6,232,188398,无敌破坏王
8.3,233,347804,国王的演讲
8.6,234,97982,上帝也疯狂
8.5,235,135310,血钻
8.8,236,74603,步履不停
8.6,237,101798,枪火
8.3,238,276449,蓝色大门
8.4,239,182229,彗星来的那一夜
8.6,240,95267,大卫·戈尔的一生
9.0,241,48219,爱·回家
8.5,242,131573,遗愿清单
9.0,243,58747,我爱你
8.7,244,87818,千钧一发
8.5,245,137062,荒岛余生
8.5,246,130208,麦兜故事
8.4,247,147163,暖暖内含光
8.5,248,116580,黑鹰坠落
8.6,249,124451,小萝莉的猴神大叔
8.3,250,205916,曾经
