approve_department,approve_number,approve_date,project_name,project_id,project_type,project_company,approve_result,approve_item
喀什地区发展和改革委员会,喀发改投资（2017）219号,"            				2017-12-25
            		",喀什地区巴楚县友谊小区城市棚户区改造内配套基础设施建设项目（2017年保障房配套）,"
                2017-653130-93-01-026560
                ","
                审批
                ","
                巴楚县住房和城乡建设局
                ",通过,中央投资保障性住房配套基础设施项目可行性研究报告审批
喀什地区发展和改革委员会,喀发改投资（2017）219号,"            				2017-12-25
            		",喀什地区巴楚县色力布亚镇棚改小区城市棚户区改造内配套基础设施建设项目（2017年保障房配套）,"
                2017-653130-93-01-026563
                ","
                审批
                ","
                巴楚县住房和城乡建设局
                ",通过,中央投资保障性住房配套基础设施项目可行性研究报告审批
喀什地区发展和改革委员会,喀发改投资（2017）214号,"            				2017-12-26
            		",喀什地区麦盖提县帕合塔巴扎社区城市棚户区改造外配套基础设施建设项目（2017年保障房配套）,"
                2017-653127-93-01-026571
                ","
                审批
                ","
                麦盖提县住房和城乡建设局
                ",通过,地（州、市）公共租赁住房及城市棚户区改造等保障性安居工程可行性研究报告审批
喀什地区发展和改革委员会,喀发改投资（2017）337号,"            				2017-12-26
            		",喀什地区巴楚县老水利局小区城市棚户区改造内配套基础设施建设项目（2017年保障房配套）,"
                2017-653130-93-01-026565
                ","
                审批
                ","
                巴楚县住房和城乡建设局
                ",通过,中央投资保障性住房配套基础设施项目可行性研究报告审批
新市区发展和改革委员会, 17101507010142 ,"            				2018-01-11
            		",中润三城三,"
                2017-650104-70-03-026624
                ","
                备案
                ","
                新疆中润信达房地产开发有限公司
                ",通过,县（市、区）属内资项目备案
库车县发展和改革委员会,库发改基字【2018】9号,"            				2018-01-12
            		",新疆阿克苏地区库车县乌恰镇克其力克村铺设砂石路项目,"
                2017-652923-48-01-026681
                ","
                审批
                ","
                库车县乌恰镇
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
头屯河区发展和改革委员会,1709150721003,"            				2018-01-10
            		",地生大厦,"
                2018-650106-70-03-000089
                ","
                备案
                ","
                新疆地生房地产投资有限公司
                ",通过,县（市、区）属内资项目备案
克孜勒苏柯尔克孜自治州发展和改革委员会,克发改字[2017]362号,"            				2018-02-12
            		",阿克陶县疾控中心业务用房建设项目（初步设计）,"
                2017-653022-83-01-014563
                ","
                审批
                ","
                阿克陶县疾病预防控制中心
                ",通过,中央投资地（州）属社会事业项目初步设计报告（实施方案）审批
头屯河区发展和改革委员会,1809160311005,"            				2018-01-22
            		",利用再生基础油制备热塑性弹性体新型防水材料项目,"
                2018-650106-30-03-000498
                ","
                备案
                ","
                新疆福克油品股份有限公司
                ",通过,县（市、区）属内资项目备案
阿勒泰市发展和改革委员会,阿市发改备案[2018]1号,"            				2018-03-15
            		",新疆阿勒泰光明乳业有限公司甜炼乳工艺设备改造项目,"
                2018-654301-14-03-000511
                ","
                备案
                ","
                新疆阿勒泰光明乳业有限公司
                ",通过,县（市、区）属内资项目备案
新源县发展和改革委员会,"暂无文号
            			","
            				2018-01-30
            		",新疆普玄建设有限公司,"
                2018-654025-50-03-000736
                ","
                备案
                ","
                新疆普玄建设有限公司
                ",不通过,县（市、区）属内资项目备案
沙依巴克区发展和改革委员会,1802150841003,"            				2018-01-31
            		",阳光康养国际社区,"
                2018-650103-70-03-000666
                ","
                备案
                ","
                新疆石湾广发企业管理有限公司
                ",通过,县（市、区）属内资项目备案
"阿图什市发展和改革委员会,阿图什市发展和改革委员会","阿图什市发改委备案证【2017】26号,阿图什市发改委备案证【2017】026号","            				2017-09-07
            		,            				2018-01-30
            		",阿图什市冰山之恋矿泉水有限公司饮用纯净水开发项目,"
                2017-653001-46-03-019344
                ","
                备案
                ","
                阿图什市冰山之恋矿泉水有限公司
                ","通过,通过","县（市、区）属内资项目备案,县（市、区）属内资项目备案"
伊吾县发展和改革委员会,伊发改投资【2017】231号,"            				2018-01-30
            		",伊吾县下马崖乡引水扩建项目,"
                2018-652223-46-01-000578
                ","
                审批
                ","
                伊吾县塔峰供排水有限责任公司
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
头屯河区发展和改革委员会,1809150431011,"            				2018-02-07
            		",乌鲁木齐恒远盛业再生物资回收有限公司再生资源物资回收加工配送项目,"
                2018-650106-42-03-000929
                ","
                备案
                ","
                乌鲁木齐恒远盛业再生物资回收有限公司
                ",通过,县（市、区）属内资项目备案
库车经济技术开发区发展改革委,2018004,"            				2018-02-12
            		",库车县天远环保废机油收储有限公司,"
                2018-652920-77-03-000935
                ","
                备案
                ","
                库车县天远环保废机油收储有限公司
                ",通过,县（市、区）属内资项目备案
新市区发展和改革委员会,  18101503010008,"            				2018-02-07
            		",建筑节能保温与装饰材料新疆制造基地项目,"
                2018-650104-30-03-000945
                ","
                备案
                ","
                亚士创能科技（乌鲁木齐）有限公司
                ",通过,县（市、区）属内资项目备案
巴里坤县发展和改革委员会,巴发改备[2018]07号,"            				2018-02-06
            		",新疆太姥矿业有限公司 新疆巴里坤县石碳窑北勘查区油页岩露天矿,"
                2018-652222-12-03-000990
                ","
                备案
                ","
                新疆太姥矿业有限公司
                ",通过,县（市、区）属内资项目备案
白碱滩区发展和改革委员会,白经促备字[2018]4号,"            				2018-02-13
            		",废弃采矿坑治理炉渣回填,"
                2018-650204-77-03-001186
                ","
                备案
                ","
                克拉玛依快达环保科技有限公司
                ",通过,县（市、区）属内资项目备案
温宿县发展和改革委员会,"暂无文号
            			","
            				2018-02-11
            		",温宿县台兰河灌区、北部山区、库托河灌区饮用水水源地保护设施建设项目,"
                2018-652922-77-01-001194
                ","
                审批
                ","
                温宿县水利局
                ",不通过,中央投资县（市、区）属社会事业项目初步设计报告（实施方案）审批
新市区发展和改革委员会,18101508740009,"            				2018-02-12
            		",触彩·数字创意园,"
                2018-650104-87-03-001204
                ","
                备案
                ","
                新疆触彩动漫科技有限公司
                ",通过,县（市、区）属内资项目备案
"新源县发展和改革委员会,新源县发展和改革委员会","暂无文号
            			,暂无文号
            			","
            				2018-03-07
            		,
            				2018-03-07
            		",新源县“两所一中心”双回路供电工程,"
                2018-654025-44-02-001222
                ","
                核准
                ","
                国网新疆电力公司新源县供电公司
                ","不通过,不通过","县（市、区）属城市基础设施（除垃圾发电外）项目核准,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）"
