date,url,content,title
2016-8-11,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B2016a2a6-1303-4cf2-a2c4-d22bac1188a4%7D,2016年8月，国家发展改革委核准金沙江金沙水电站。电站安装4台14万千瓦混流式水轮发电机组，总装机容量56万千瓦，年均发电量21.77亿千瓦时。,金沙江金沙水电站通过核准
2016-7-25,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B58f320c2-0a32-4c15-b7a8-9df376d6e7b1%7D,"关于加快居民区电动汽车充电基础设施建设的通知
发改能源〔2016〕1611号
各省、自治区、直辖市、新疆生产建设兵团发展改革委（能源局、物价局）、工业和信息化主管部门、住房城乡建设厅（委、局），国家电网公司、南方电网公司、中国电动汽车充电基础设施促进联盟：
　　为贯彻《国务院办公厅关于加快电动汽车充电基础设施建设的指导意见》（国办发〔2015〕73号）要求，进一步落实地方政府主体责任，充分调动各有关方面积极性，切实解决当前居民区电动汽车充电基础设施建设难题，现将有关要求通知如下：
　　一、加强现有居民区设施改造。根据电动汽车发展规划及应用推广情况，按“适度超前”原则，供电企业要结合老旧小区改造，积极推进现有居民区（含高压自管小区）停车位的电气化改造，确保满足居民区充电基础设施用电需求。对专用固定停车位（含一年及以上租赁期车位），按“一表一车位”模式进行配套供电设施增容改造，每个停车位配置适当容量电能表。对公共停车位，应结合小区实际情况及电动车用户的充电需求，开展配套供电设施改造，合理配置供电容量。国家对居民区停车位的电气化改造酌情给予专项建设基金等政策支持，地方政府要统一协调有关部门和单位给予施工便利。
　　二、规范新建居住区设施建设。新建居住区应统一将供电线路敷设至专用固定停车位（或预留敷设条件），预留电表箱、充电设施安装位置和用电容量，并因地制宜制定公共停车位的供电设施建设方案，为充电基础设施建设安装提供便利。新建居民区停车位配套供电设施建设应与主体建筑同步设计、同步施工。支持结合实际条件，建设占地少、成本低、见效快的机械式与立体式停车充电一体化设施。鼓励探索居住区整体智能充电管理模式。
　　三、做好工程项目规划衔接。新建或改扩建住宅项目按规定需配建充电基础设施的，城乡规划行政主管部门在核发相关建设工程规划许可证时，要严格执行配建或预留充电基础设施的比例要求。施工图审查机构在审查新建或改扩建住宅项目施工图时，对充电基础设施设置是否符合相关标准进行审核。建设主管部门要将充电基础设施配建情况纳入整体工程验收范畴。
　　四、引导业主委员会支持设施建设。各地房地产（房屋）行政主管部门、街道办事处或乡镇人民政府、社区居委会要按照《私人用户居住地充电基础设施建设管理示范文本》（附后），主动加强对业主委员会的指导和监督，引导业主支持充电基础设施建设改造，明确充电基础设施产权人、建设单位、管理服务单位等相关主体的权利义务以及相应建设使用管理流程。对于占用固定车位产权人或长期承租方（租期一年及以上）建设充电基础设施的行为或要求，业主委员会（或业主大会授权的管理单位）原则上应同意并提供必要的协助。
　　五、发挥开发商等产权单位主体作用。各地发展改革（能源）主管部门要会同房地产（房屋）行政主管部门，采取统一组织、专项扶持等方式引导房地产开发企业等居民区车位产权单位主动利用现有停车位与场地，开展充电基础设施的建设和运营工作。
　　六、发挥物业服务企业积极作用。在居民区充电基础设施安装过程中，物业服务企业应配合业主或其委托的建设单位，及时提供相关图纸资料，积极配合并协助现场勘查、施工。鼓励物业服务企业根据用户需求及业主大会授权，利用公共停车位建设相对集中的公共充电基础设施并提供充电服务。地方可充分利用财政资金杠杆作用，对配套服务与管理积极主动、成效突出的物业服务企业给予适当奖补。
　　七、创新商业运营模式。充分发挥市场作用推进小区充电基础设施可持续发展，探索第三方充电服务企业、物业服务企业、车位产权方、业主委员会等多方参与居民区充电基础设施建设运营的市场化合作共赢模式，鼓励积极引入局部集中改造、智能充电管理、多用户分时共享等创新运营模式，提升日常运维服务水平。在严格执行《关于电动汽车用电价格政策有关问题的通知》（发改价格[2014]1668号）的基础上，各地价格主管部门可探索居民区充电基础设施建设运营的合理服务收费机制，逐步形成可持续的市场化推进模式。
　　八、开展充电责任保险工作。加快制定居民区充电基础设施责任保险工作相关规定。居民区充电基础设施由生产（制造）厂商购买产品责任保险，并按“谁拥有，谁投保”的原则购买充电安全责任保险。开展充电基础设施运营业务的企业必须为自身经营的充电设备购买安全责任保险。鼓励设备生产（制造）厂商或电动汽车生产销售企业为个人用户购买充电安全责任保险。
　　九、加强居民区充电设施安全管理。将充电基础设施纳入居民区安全管理责任体系中，加大监管力度。完善居民区充电基础设施设置场所的消防与电气等安全设计要求。加大对私拉电线、违规用电、不规范建设施工等行为的查处力度。定期开展电气安全、消防安全、防雷设施安全以及充电相关设备设施的检查，及时消除安全隐患。
　　十、加大舆论宣传力度。各地政府、街道办事处或乡镇人民政府、社区居委会和新闻媒体要通过多种形式宣传居民区充电基础设施建设的政策措施及成效，让广大居民、物业企业了解政策要求；同时加强舆论监督，对不配合或阻挠充电基础设施建设的物业服务企业，以及阻碍居民区充电基础设施建设的有关行为，加大舆论曝光力度，营造有利发展的舆论氛围。
　　十一、积极开展试点示范。分批在京津冀鲁、长三角、珠三角等地重点城市开展试点示范。各地发展改革（能源）主管部门要会同房地产（房屋）行政主管部门，牵头制订居民区充电基础设施建设运营的综合试点建设方案，并组织实施。
　　附件：居民区电动汽车充电基础设施建设管理示范文本
国家发展改革委
国 家 能 源 局
工业和信息化部
住房城乡建设部
2016年7月25日",关于加快居民区电动汽车充电基础设施建设的通知(发改能源〔2016〕1611号)
2016-11-10,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Bf97fbf1e-1258-4943-ac3f-1eac50caecda%7D,2016年11月，国家发展改革委核准金沙江叶巴滩水电站。电站安装4台51万千瓦和1台20万千瓦混流式水轮发电机组，总装机容量224万千瓦，年均发电量91.6亿千瓦时（梯级联合运行年均发电量102.05亿千瓦时），总投资333.6亿元。,金沙江叶巴滩水电站通过核准
2016-12-10,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Bcabb8fde-2380-4807-b0fe-0f4b8c259c30%7D,"国家发展改革委关于印发
《可再生能源发展“十三五”规划》的通知
发改能源〔2016〕2619号
各省、自治区、直辖市，新疆生产建设兵团发展改革委（能源局）、各派出机构、有关中央企业，各可再生能源学会、协会：
　　为实现2020年非化石能源占一次能源消费比重15%的目标，加快建立清洁低碳、安全高效的现代能源体系，促进可再生能源产业持续健康发展，按照《可再生能源法》要求，根据《中华人民共和国国民经济和社会发展第十三个五年规划纲要》和《能源发展“十三五”规划》，我们制定了《可再生能源发展“十三五”规划》，现印发你们，请按照执行。
　　附件：可再生能源发展“十三五”规划
国家发展改革委
2016年12月10日",关于印发《可再生能源发展“十三五”规划》的通知(发改能源〔2016〕2619号)
2016-12-22,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B298336f2-fcf4-49eb-a818-451255fb3705%7D,,电力发展“十三五”规划（2016-2020年）
2016-12-20,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Bec0ad332-52d1-43ed-87f5-d03f694bfde7%7D,"中华人民共和国国家发展和改革委员会
中华人民共和国公安部
中华人民共和国环境保护部
中华人民共和国商务部
国务院国有资产监督管理委员会
国家工商行政管理总局
国家质量监督检验检疫总局
国家能源局
公告
2016年 第29号
　　为贯彻落实《国务院关于印发大气污染防治行动计划的通知》（国发〔2013〕37号）和国务院第90次常务会议有关要求和部署，应对严峻的大气污染形势，加快推进成品油质量升级，改善空气质量，现将有关事项公告如下：
　　一、严格按时供油
　　2017年1月1日起，全国全面供应符合第五阶段国家标准（以下简称国Ⅴ标准）的车用汽油（含E10乙醇汽油）、车用柴油（含B5生物柴油），同时停止国内销售低于国Ⅴ标准车用汽油（含E10乙醇汽油）、车用柴油（含B5生物柴油）。
　　二、保障油品质量
　　成品油生产、销售企业按照现行国家标准进一步加强油品质量管理和控制，保障清洁油品市场供应。
　　三、规范油品标示
　　加油站（点）按照相关法规和标准要求，明确标注所售汽油、柴油产品名称、牌号和等级（如：92号汽油（V），0号车用柴油（V）等），以便于消费者选择、政府监管和社会监督。
　　四、加强有效监管
　　国家和地方有关职能部门加强成品油质量监督检查，依法严厉查处生产、销售不合格油品，非法生产、销售油品，非法流动加油罐车等违法违规行为，确保成品油质量升级取得实效，促进成品油市场健康有序发展。
　　特此公告。
国家发展改革委
公　　安　　部
环 境 保 护 部
商　　务　　部
国　　资　　委
工　商　总　局
质　检　总　局
国 家 能 源 局
2016年12月20日",关于全国全面供应符合第五阶段国家强制性标准车用油品的公告 2016年第29号
2016-12-22,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B3fed4c6c-c3a9-4362-af15-20d723a1ff19%7D,"国家发展改革委 国家能源局
关于印发煤炭工业发展“十三五”规划的通知
发改能源〔2016〕2714号
各省（自治区、直辖市）发展改革委（能源局）、煤炭行业管理部门、新疆生产建设兵团发展改革委，各有关中央企业：
　　为加快推进煤炭领域供给侧结构性改革，推动煤炭工业转型发展，建设集约、安全、高效、绿色的现代煤炭工业体系，依据《国民经济和社会发展第十三个五年规划纲要》和《能源发展“十三五”规划》，我们制订了《煤炭工业发展“十三五”规划》。现印发你们，请遵照执行。
　　附件：《煤炭工业发展“十三五”规划》
国家发展改革委
国 家 能 源 局
2016年12月22日",关于印发煤炭工业发展“十三五”规划的通知(发改能源〔2016〕2714号)
2016-12-29,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B226a22a1-009c-4f2e-9d47-99ff940a0875%7D,"国家发展改革委  国家能源局关于印发
《电力中长期交易基本规则（暂行）》的通知
发改能源〔2016〕2784号
国家能源局各派出机构，各省（自治区、直辖市）和新疆生产建设兵团发展改革委（能源局、物价局）、经信委（经委、工信厅），国家电网公司、南方电网公司，华能、大唐、华电、国电、国家电投集团公司，三峡集团公司，神华集团公司、国家开发投资公司，内蒙古电力（集团）公司，有关电力企业、电力用户：
　　为贯彻落实《中共中央 国务院关于进一步深化电力体制改革的若干意见》（中发〔2015〕9号）及相关配套文件工作要求，加快推进电力市场建设，规范各地电力中长期交易行为，现将《电力中长期交易基本规则（暂行）》（以下简称《基本规则》）印发给你们，请遵照执行。
　　国家能源局各派出机构要会同地方政府电力管理等部门根据《基本规则》抓紧制订或修订各地交易规则，报国家发展改革委、国家能源局备案。
　　《基本规则》适用于现阶段各地区开展年、月、周等日以上电力直接交易、跨省跨区交易、合同电量转让交易等。随着竞争性环节电价放开或者发用电计划电量放开达到一定比例，以及合同执行偏差电量无法按照《基本规则》规定的方法解决时，各地应当建立电力中长期交易和现货交易相结合的市场化电力电量平衡机制。
　　京津冀等开展电力市场试点的地区，近期要重点做好市场方案和交易规则制定、技术支持系统建设、相关人员培训等工作，具备条件后适时启动电力现货交易。涵盖电力现货交易的电力市场交易基本规则另行制定。
　　附件：电力中长期交易基本规则（暂行）
国家发展改革委
国 家 能 源 局
2016年12月29日",关于印发《电力中长期交易基本规则(暂行)》的通知(发改能源〔2016〕2784号)
2016-12-26,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B37da2348-77b7-4e6f-a51b-99f4fc955f22%7D,"国家发展改革委 国家能源局关于
印发能源发展“十三五”规划的通知
发改能源〔2016〕2744号
各省、自治区、直辖市发展改革委（能源局），新疆生产建设兵团发展改革委（能源局），各有关中央企业，有关行业协会、学会：
　　经国务院同意，现将《能源发展“十三五”规划》印发给你们，请认真贯彻执行。
　　附件：能源发展“十三五”规划
国家发展改革委
国 家 能 源 局
2016年12月26日",关于印发能源发展“十三五”规划的通知(发改能源〔2016〕2744号)
2016-12-24,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Bbd914c67-7b4a-4170-a43b-80bddbd07a79%7D,"国家发展改革委关于印发石油天然气发展
“十三五”规划的通知
发改能源〔2016〕2743号
各省、自治区、直辖市发展改革委（能源局）、新疆生产建设兵团发展改革委，中国石油天然气集团公司、中国石油化工集团公司、中国海洋石油总公司，中国石油和化学工业联合会：
　　为落实《中华人民共和国国民经济和社会发展第十三个五年规划纲要》总体要求，促进石油、天然气产业有序、健康、可持续发展，根据《能源发展“十三五”规划》，我们制订了《石油发展“十三五”规划》、《天然气发展“十三五”规划》，现印送你们，请按照执行。
　　附件：1、石油发展“十三五”规划
　　　　　2、天然气发展“十三五”规划
国家发展改革委
2016年12月24日",关于印发石油天然气发展“十三五”规划的通知(发改能源〔2016〕2743号)
